세부사업 코드,세부사업명,기관,지역,구분,분야(추정),성격,예산현액(억 원),집행액(억 원),온통청년 대응,대응 정책번호,대응 정책명,가장 가까운 후보,후보 유사도
493000020253006E,청년공공임대주택 건립,전남광주해남군,전남,지방,주거,기반·운영,0.45,0.0,찾지 못함,,,청년 소모임 활동 지원,0.473
648000020253000F,고립 은둔 청년 지원 '세상 밖으로 한 걸음',경남본청,경남,지방,정책기반,대상자 지원,0.45,0.45,있음,20250916005400211699,고립・은둔 청년 지원 '세상 밖으로 한 걸음',고립・은둔 청년 지원 '세상 밖으로 한 걸음',1.12
5340000202530128,청년주택 임차보증금 이자지원 사업,경남사천시,경남,지방,주거,대상자 지원,0.45,0.0,있음,20250917005400211732,청년 주택 임차보증금 이자 지원,청년 주택 임차보증금 이자 지원,1.12
533000020243001E,통영시 청년 인턴제,경남통영시,경남,지방,취업·일경험,대상자 지원,0.45,0.07,찾지 못함,,,청년어업인 귀어 인턴 지원,0.691
53300002025300E3,청년주택 임차보증금 이자지원 사업,경남통영시,경남,지방,주거,대상자 지원,0.45,0.0,있음,20250917005400211732,청년 주택 임차보증금 이자 지원,청년 주택 임차보증금 이자 지원,1.12
5480000200730397,자립준비청년 자립정착금 지원,경남합천군,경남,지방,금융·생활안정,대상자 지원,0.45,0.0,있음,20250916005400211695,자립준비청년 자립정착금 지원,자립준비청년 자립정착금 지원,1.12
547000020153006B,자립준비청년 자립정착금,경남거창군,경남,지방,금융·생활안정,대상자 지원,0.45,0.45,있음,20250916005400211695,자립준비청년 자립정착금 지원,자립준비청년 자립정착금 지원,1.12
53700002026300EB,거제시공공기관 청년인턴 운영,경남거제시,경남,지방,취업·일경험,대상자 지원,0.45,0.0,찾지 못함,,,거제시 청년 스펙-UP 지원사업(자격증 응시료 지원),0.62
5440000202330082,청년 네트워크 운영 및 활동비 지원사업,경남하동군,경남,지방,참여·권리,기반·운영,0.45,0.24,있음,,,청년정책네트워크 운영,0.787
4020000202130007,청년정책 추진,경기군포시,경기,지방,정책기반,기타,0.45,0.2,찾지 못함,,,청년농업인 영농정착지원,0.582
3830000202030057,청년면접지원 서비스 운영,경기안양시,경기,지방,취업·일경험,대상자 지원,0.45,0.2,있음,,,경기도 청년 면접수당,0.735
405000020193013B,청년 채용 및 취업 지원,경기용인시,경기,지방,취업·일경험,대상자 지원,0.45,0.2,찾지 못함,,,경기청년 맞춤형 채용지원 서비스,0.691
5540000202230022,청년정책 추진,경기광주시,경기,지방,정책기반,기타,0.45,0.05,찾지 못함,,,청년농업인 영농정착지원,0.582
408000020263004F,제2차 안성시 청년정책기본계획 수립,경기안성시,경기,지방,정책기반,기타,0.45,0.0,찾지 못함,,,경기도 청년기본소득,0.541
6470000201330021,청년농촌정착활성화및역량강화지원,경북본청,경북,지방,창업·농어업,대상자 지원,0.45,0.45,찾지 못함,,,자립준비청년 자립정착금 지원,0.564
4670000201930107,시군 청년혁신가 예비창업지원사업,전북군산시,전북,지방,창업·농어업,대상자 지원,0.45,0.45,있음,20250114005400210215,시군 청년혁신가 예비창업지원,시군 청년혁신가 예비창업지원,1.12
46700002022300B8,청년 스타트농 영농기반 지원,전북군산시,전북,지방,창업·농어업,대상자 지원,0.45,0.45,있음,,,청년창업농 영농기반 임차지원,0.84
468000020193011C,청년혁신가 예비창업지원사업,전북익산시,전북,지방,창업·농어업,대상자 지원,0.45,0.45,있음,,,시군 청년혁신가 예비창업지원,1.02
4690000202430039,청년혁신가 예비창업지원사업(도비직접지원),전북정읍시,전북,지방,창업·농어업,대상자 지원,0.45,0.45,있음,,,시군 청년혁신가 예비창업지원,1.02
4700000201930134,청년혁신가 예비창업지원사업(도비직접지원사업),전북남원시,전북,지방,창업·농어업,대상자 지원,0.45,0.45,있음,,,시군 청년혁신가 예비창업지원,1.02
4740000201930109,시군청년혁신가 예비창업지원,전북무주군,전북,지방,창업·농어업,대상자 지원,0.45,0.45,있음,20250114005400210215,시군 청년혁신가 예비창업지원,시군 청년혁신가 예비창업지원,1.12
473000020223003C,시군 청년혁신가 예비창업 지원사업,전북진안군,전북,지방,창업·농어업,대상자 지원,0.45,0.45,있음,20250114005400210215,시군 청년혁신가 예비창업지원,시군 청년혁신가 예비창업지원,1.12
46810002025300E1,청년의 날 기념행사,전북익산시,전북,지방,정책기반,기반·운영,0.45,0.0,찾지 못함,,,청년친화 친구기업 지원사업,0.52
3560000202630112,청년창업지원센터 운영,인천검단구,인천,지방,창업·농어업,기반·운영,0.45,0.01,있음,,,인천광역시 청년미래센터 운영,0.787
41900002022300BE,청년일자리 지역혁신형 지원,강원원주시,강원,지방,취업·일경험,대상자 지원,0.44,0.28,찾지 못함,,,지역혁신중심 대학지원체계,0.62
42100002023301A9,청년중증장애인 자산형성지원,강원동해시,강원,지방,금융·생활안정,대상자 지원,0.44,0.28,있음,,,청년 재가 중증장애인 자산형성 지원,1.049
5680000202530098,청년 농산물 가공 창업 지원,충남당진시,충남,지방,창업·농어업,대상자 지원,0.44,0.28,있음,,,청년 도내 농창업 지원,0.82
4600000202530116,청년 성장 프로젝트,충남홍성군,충남,지방,정책기반,기타,0.44,0.18,있음,20250715005400211260,청년성장 프로젝트,청년성장 프로젝트,1.12
453000020243012F,청년 문화예술패스 지원,충남서산시,충남,지방,문화·건강,대상자 지원,0.44,0.44,있음,,,찾아가는 청년문화 예술 활동 지원,0.787
3330000202330042,청년 구직활동비 지원,부산해운대구,부산,지방,취업·일경험,대상자 지원,0.44,0.16,있음,,,부산 청년 커뮤니티 활동 지원,0.752
64600002024301A6,청년성장프로젝트(국가직접지원) (전남),전남광주본청,전남,지방,취업·일경험,대상자 지원,0.44,0.44,찾지 못함,,,연구인재 역량강화 프로젝트,0.564
481000020263010E,친환경농산물 계약재배 청년농가 육성사업,전남광주여수시,전남,지방,창업·농어업,기타,0.44,0.0,있음,20250119005400210342,친환경농산물 계약재배 청년농가 육성,친환경농산물 계약재배 청년농가 육성,1.12
4970000202230107,친환경농산물 계약재배 청년농가 육성,전남광주영광군,전남,지방,창업·농어업,기타,0.44,0.0,있음,20250119005400210342,친환경농산물 계약재배 청년농가 육성,친환경농산물 계약재배 청년농가 육성,1.12
5330000201930162,청년 문화조성,경남통영시,경남,지방,문화·건강,기반·운영,0.44,0.32,찾지 못함,,,경남 청년 보금자리 조성,0.691
5410000202630092,사회연대경제 청년 일경험사업,경남창녕군,경남,지방,취업·일경험,대상자 지원,0.44,0.2,있음,,,청년 일경험 지원,1.02
543000020263010B,사회연대경제 청년 일경험 시범사업,경남남해군,경남,지방,취업·일경험,대상자 지원,0.44,0.0,있음,,,청년 일경험 지원,1.02
54400002026300CD,사회연대경제 청년 일경험 시범사업,경남하동군,경남,지방,취업·일경험,대상자 지원,0.44,0.0,있음,,,청년 일경험 지원,1.02
54600002026300E0,사회연대경제 청년 일경험 시범사업,경남함양군,경남,지방,취업·일경험,대상자 지원,0.44,0.0,있음,,,청년 일경험 지원,1.02
5350000202630046,청년 네트워크 활성화,경남김해시,경남,지방,참여·권리,기타,0.44,0.27,있음,,,청년정책네트워크 운영,0.826
4040000202530092,청년지원센터 운영(보조),경기하남시,경기,지방,정책기반,기반·운영,0.44,0.29,있음,,,오프라인 지역 청년지원센터 활성화,0.8
38200002025300CD,청년문화공간 운영,경기의정부시,경기,지방,문화·건강,기반·운영,0.44,0.41,찾지 못함,,,경기도 청년참여기구 운영,0.62
40700002022301EA,청년 취창업 준비 지원,경기이천시,경기,지방,창업·농어업,대상자 지원,0.44,0.08,있음,,,청년 융합기술 창업지원,0.752
4000000201930087,중소기업과 미취업청년 상생사업,경기오산시,경기,지방,취업·일경험,대상자 지원,0.44,0.44,찾지 못함,,,기후미래직업 청년일자리 전문교육 지원,0.49
4040000201930120,청년농업인 영농정착 지원,경기하남시,경기,지방,창업·농어업,대상자 지원,0.44,0.08,있음,20251107005400211815,청년농업인 영농정착지원,청년농업인 영농정착지원,1.12
3670000201630072,청년정책 사업,대전유성구,대전,지방,정책기반,기타,0.44,0.11,있음,,,청년 행정체험연수 운영,0.72
6470000201630275,청년활동및소통지원,경북본청,경북,지방,참여·권리,대상자 지원,0.44,0.44,찾지 못함,,,청년 화합소통행사 개최지원,0.691
5250000202330093,청년공동체 활성화,경북울진군,경북,지방,참여·권리,기타,0.44,0.24,찾지 못함,,,경북청년 예비창업가 육성사업,0.473
47410002026300FE,사회연대경제 청년 일경험 시범사업,전북무주군,전북,지방,취업·일경험,대상자 지원,0.44,0.06,있음,,,사회연대경제 청년 일경험 시범 지원,1.0
47510002026300E8,사회연대경제 청년 일경험 시범사업,전북장수군,전북,지방,취업·일경험,대상자 지원,0.44,0.06,있음,,,사회연대경제 청년 일경험 시범 지원,1.0
47710002026300A2,사회연대경제 청년 일경험 지원,전북순창군,전북,지방,취업·일경험,대상자 지원,0.44,0.09,있음,,,사회연대경제 청년일경험,1.0
4680000202330379,전북특별자치도 군복무 청년 상해보험 가입지원,전북익산시,전북,지방,금융·생활안정,대상자 지원,0.44,0.44,있음,20250110005400210162,전북 군복무 청년 상해보험 가입 지원,전북 군복무 청년 상해보험 가입 지원,1.12
4260000201730154,청년월세 지원사업(국고),강원횡성군,강원,지방,주거,대상자 지원,0.43,0.09,있음,,,청년월세 한시 특별지원,0.8
4550000202130144,지역사회 청년쉐어하우스 운영(자체),충남금산군,충남,지방,정책기반,기타,0.43,0.43,찾지 못함,,,지역사회서비스 청년사업단,0.691
484000020213003B,청년 행정인턴 운영,전남광주광양시,전남,지방,취업·일경험,대상자 지원,0.43,0.41,있음,20260204005400212092,(광양시) 청년 행정인턴,(광양시) 청년 행정인턴,1.12
4970000202330193,전남형 청년공동체 활성화,전남광주영광군,전남,지방,참여·권리,기타,0.43,0.43,있음,20250119005400210341,전남형 청년공동체 활성화 사업,전남형 청년공동체 활성화 사업,1.12
4890000202230048,청년월세 한시 특별지원사업,전남광주보성군,전남,지방,주거,대상자 지원,0.43,0.05,있음,,,청년월세지원,1.02
4920000202430337,전남청년 희망일자리 지원사업,전남광주강진군,전남,지방,취업·일경험,대상자 지원,0.43,0.0,있음,20251124005400211937,전남 청년 희망 일자리 지원사업,전남 청년 희망 일자리 지원사업,1.12
307000020163000A,성북 청년정책 네트워크 운영,서울성북구,서울,지방,참여·권리,기반·운영,0.43,0.23,있음,,,2026년 서울청년정책네트워크 하반기 모집,1.02
36900002022300A6,울산큰애기 청년야시장 운영,울산중구,울산,지방,문화·건강,기타,0.43,0.27,찾지 못함,,,청년상담소(고민점빵) 운영,0.653
54300002026300A5,청년 창업둥지 사업,경남남해군,경남,지방,창업·농어업,대상자 지원,0.43,0.0,찾지 못함,,,청년 창업농 맞춤형 지원,0.691
6480000202230336,청년 어업인 육성 및 교육,경남본청,경남,지방,창업·농어업,대상자 지원,0.43,0.03,있음,,,청년어업인 육성 및 지원,1.02
50700002021300A0,[도]청년농업인육성,경북안동시,경북,지방,창업·농어업,기타,0.43,0.16,있음,,,경북청년 예비창업가 육성사업,0.745
511000020233007C,[도]청년농업인 농지임대료 지원,경북상주시,경북,지방,창업·농어업,대상자 지원,0.43,0.12,찾지 못함,,,청년스타트업 지원,0.62
6470000201730303,초보청년농부멘토링지원,경북본청,경북,지방,창업·농어업,대상자 지원,0.43,0.43,찾지 못함,,,청년 신혼부부 월세 지원,0.596
341000020243002D,청년팝업클래스운영,대구중구,대구,지방,정책기반,기타,0.43,0.03,찾지 못함,,,청년농업인 맞춤 지원,0.549
47500002021301D9,청년활력센터 운영사업,전북장수군,전북,지방,정책기반,기반·운영,0.43,0.18,있음,,,전북형 청년활력수당,0.735
4670000202330262,군복무 청년 상해보험 가입 지원 사업,전북군산시,전북,지방,금융·생활안정,대상자 지원,0.43,0.41,있음,20250110005400210162,전북 군복무 청년 상해보험 가입 지원,전북 군복무 청년 상해보험 가입 지원,1.12
356000020243017D,청년의 사회적 고립 해소를 위한 지원 사업(서구공통),인천서해구,인천,지방,정책기반,대상자 지원,0.43,0.29,찾지 못함,,,청년의 사회적 고립 해소를 위한 지원사업,0.65
43410002026300B7,봉포리 청년 상상마당 복합센터 운영,강원고성군,강원,지방,정책기반,기반·운영,0.42,0.25,찾지 못함,,,강원청년센터 운영,0.691
42110002023301DB,강원도 청년 취업준비 쿠폰 지원사업,강원동해시,강원,지방,취업·일경험,대상자 지원,0.42,0.0,찾지 못함,,,2025년 청년 디딤돌 2배 적금 지원사업,0.582
454000020263001D,군복무 청년 상해보험 지원,충남논산시,충남,지방,금융·생활안정,대상자 지원,0.42,0.39,찾지 못함,,,청년농 지원사업 홍보,0.549
45100002019300DE,자립준비청년 자립수당,충남보령시,충남,지방,금융·생활안정,대상자 지원,0.42,0.21,있음,,,"자립준비청년 자립 지원 (자립수당, 자립정착금, 대학생활안정자금)",1.02
4590000202330236,청년농업인 농지 임차료 지원사업,충남청양군,충남,지방,창업·농어업,대상자 지원,0.42,0.0,있음,20250715005400211277,청년농업인 농지임차료 지원,청년농업인 농지임차료 지원,1.12
45800002019300AC,보호종료아동 자립수당 지원,충남서천군,충남,지방,금융·생활안정,대상자 지원,0.42,0.16,찾지 못함,,,자립지원 사업,0.564
33300002024300AE,자립준비청년 자립수당 지원(자체),부산해운대구,부산,지방,금융·생활안정,대상자 지원,0.42,0.21,있음,20260430005400212954,부산 자립준비청년 자립수당 지원,부산 자립준비청년 자립수당 지원,1.12
50000002025300CE,청년창업농장 임차인 농자재 지원(지방소멸대응기금),전남광주진도군,전남,지방,창업·농어업,대상자 지원,0.42,0.05,있음,,,청년 창업농장 조성,0.72
4830000202330219,전남형 청년공동체 활성화 사업,전남광주나주시,전남,지방,참여·권리,기타,0.42,0.42,있음,20250119005400210341,전남형 청년공동체 활성화 사업,전남형 청년공동체 활성화 사업,1.12
49100002019300C3,보호종료아동 자립수당 지원(국비),전남광주장흥군,전남,지방,금융·생활안정,대상자 지원,0.42,0.25,찾지 못함,,,자립준비청년 자립수당 지급,0.417
49600002019300AF,보호종료아동 자립수당 지원,전남광주함평군,전남,지방,금융·생활안정,대상자 지원,0.42,0.36,찾지 못함,,,자립준비청년 자립수당 지급,0.417
3080000202430011,패션봉제업 일자리 창출 청년 고용장려금 및 정착장려금 지원,서울강북구,서울,지방,취업·일경험,대상자 지원,0.42,0.0,찾지 못함,,,청년층 신용회복 지원사업,0.398
5470000201930059,보호종료아동 자립수당,경남거창군,경남,지방,금융·생활안정,대상자 지원,0.42,0.26,찾지 못함,,,시설 퇴소청소년 자립지원수당,0.381
4050000202630037,용인청년 중개보수 및 이사비 지원사업,경기용인시,경기,지방,주거,대상자 지원,0.42,0.33,있음,,,용인청년 부동산 중개 보수 감면 사업,0.713
393000020253004C,청년부동산 중개보수 및 이사비 지원사업,경기안산시,경기,지방,주거,대상자 지원,0.42,0.42,찾지 못함,,,경기청년 결혼준비 지원 사업,0.639
5590000202030119,말산업 청년인턴 취업지원,경기양주시,경기,지방,취업·일경험,대상자 지원,0.42,0.17,찾지 못함,,,청년 융합기술 창업지원,0.596
641000020183002F,경기도 청년정책조정위원회 등 운영(자체/직접),경기본청,경기,지방,참여·권리,기반·운영,0.42,0.29,찾지 못함,,,경기도 청년참여기구 운영,0.52
4080000202430025,청년 예술인 지원사업,경기안성시,경기,지방,문화·건강,대상자 지원,0.42,0.41,있음,,,경기청년 재기격려지원사업,0.752
52400002023300CC,스마트청년농업육성지원,경북봉화군,경북,지방,창업·농어업,대상자 지원,0.42,0.28,찾지 못함,,,경북청년 예비창업가 육성사업,0.676
5090000202430139,(도)청년신혼부부월세지원사업,경북영주시,경북,지방,주거,대상자 지원,0.42,0.1,있음,20250827005400211525,청년 신혼부부 월세 지원사업,청년 신혼부부 월세 지원사업,1.12
3600000202130050,청년센터운영,전남광주서구,광주,지방,정책기반,기타,0.42,0.33,있음,,,청년예술센터 운영,0.92
473000020233008F,전북형 청년활력수당,전북진안군,전북,지방,금융·생활안정,대상자 지원,0.42,0.14,있음,20250113005400210207,전북형 청년활력수당,전북형 청년활력수당,1.12
468000020203009C,청년창업농 정책자금 이차보전,전북익산시,전북,지방,창업·농어업,대상자 지원,0.42,0.22,있음,20250718005400211441,청년창업농 정책자금 이차보전,청년창업농 정책자금 이차보전,1.12
47100002019300E0,보호종료아동 자립수당 지원(보조),전북김제시,전북,지방,금융·생활안정,대상자 지원,0.42,0.14,찾지 못함,,,퇴소아동 자립정착금,0.541
472000020193019D,자립준비청년 자립수당 지급,전북완주군,전북,지방,금융·생활안정,대상자 지원,0.42,0.28,있음,,,자립준비청년 자립수당 지급,1.0
47600002019300A8,자립준비청년 자립수당,전북임실군,전북,지방,금융·생활안정,대상자 지원,0.42,0.2,있음,,,자립준비청년 자립수당 지급,0.909
4470000202630043,청년지원 사업,충북음성군,충북,지방,정책기반,대상자 지원,0.42,0.19,있음,,,음성군 청년월세 지원사업,0.92
448000020193001F,자립준비청년 자립수당,충북단양군,충북,지방,금융·생활안정,대상자 지원,0.42,0.21,있음,,,자립준비청년 자립수당 지급,1.029
3260000202430013,청년 자격증 시험 응시료 지원 사업,부산서구,부산,지방,교육·역량,대상자 지원,0.41,0.27,있음,20250117005400210324,청년 자격증 시험 응시료 지원 사업,청년 자격증 시험 응시료 지원 사업,1.12
3300000201930055,자원봉사센터 청년실업해소 실무자 지원,부산동래구,부산,지방,정책기반,대상자 지원,0.41,0.41,찾지 못함,,,부산 자립준비청년 자립수당 지원,0.534
3320000202330081,동네 청년활동공간 활성화 지원,부산북구,부산,지방,정책기반,대상자 지원,0.41,0.23,있음,20260406005400212424,부산 동네 청년활동공간 활성화 지원,부산 동네 청년활동공간 활성화 지원,1.12
340000020263003E,청년 창업자 임차료 지원,부산기장군,부산,지방,창업·농어업,대상자 지원,0.41,0.29,찾지 못함,,,부산 청년 자산형성 지원(부산청년 기쁨두배통장),0.676
3310000202030013,청년 일자리 지원,부산남구,부산,지방,취업·일경험,대상자 지원,0.41,0.41,있음,,,부산 청년두드림센터 운영,0.92
5000000202330397,청년 희망 디딤돌 통장사업,전남광주진도군,전남,지방,금융·생활안정,기타,0.41,0.26,있음,20250119005400210340,청년 희망디딤돌 통장 운영,청년 희망디딤돌 통장 운영,1.12
488000020183015A,청년 창업몰 운영 지원,전남광주고흥군,전남,지방,창업·농어업,대상자 지원,0.41,0.17,있음,,,2026년도 청년창업특례보증 지원,0.752
313000020243004F,군복무 청년 상해보험 지원,서울마포구,서울,지방,금융·생활안정,대상자 지원,0.41,0.4,찾지 못함,,,서울청년문화패스 지원,0.541
3090000202330103,미취업 청년 어학 및 자격증 응시료 지원,서울도봉구,서울,지방,교육·역량,대상자 지원,0.41,0.18,찾지 못함,,,미래 청년 일자리 사업,0.501
3690000201930079,청년정책 교류 활성화,울산중구,울산,지방,참여·권리,기타,0.41,0.11,찾지 못함,,,청년정책 홍보사업,0.653
5400000202330004,경남 청년인재-주력산업 동반성장 일자리,경남함안군,경남,지방,취업·일경험,기타,0.41,0.0,있음,20250917005400211740,청년인재-주력산업 동반성장 일자리,청년인재-주력산업 동반성장 일자리,1.12
54500002022300A2,청년 월세 지원사업,경남산청군,경남,지방,주거,대상자 지원,0.41,0.04,있음,,,청년 월세 지원,0.92
5310000201930034,청년 면접정장 대여사업,경남진주시,경남,지방,취업·일경험,기타,0.41,0.21,있음,20251127005400211944,진주시 청년 면접정장 대여사업,진주시 청년 면접정장 대여사업,1.12
406000020223005E,청년 전월세 임차보증금 대출이자 지원,경기파주시,경기,지방,주거,대상자 지원,0.41,0.17,찾지 못함,,,2025년 상반기 경기도 학자금 대출이자 지원,0.62
4060000202530110,경기 청년공간 조성(경기 청년공간 프로그램 운영),경기파주시,경기,지방,정책기반,기반·운영,0.41,0.34,찾지 못함,,,청년공동체 연구지원 사업,0.582
40300002024300D0,청년 문화예술패스,경기의왕시,경기,지방,문화·건강,대상자 지원,0.41,0.41,찾지 못함,,,청년 융합기술 창업지원,0.495
51800002021300C1,청년한부모자녀양육비지원사업(도비보조),경북영덕군,경북,지방,정책기반,대상자 지원,0.41,0.29,있음,20260317005400212183,청년한부모 자녀양육비 지원,청년한부모 자녀양육비 지원,1.12
5190000202530022,청년월세지원사업(자체),경북청도군,경북,지방,주거,대상자 지원,0.41,0.23,있음,,,청년 신혼부부 월세 지원사업,0.92
52100002022300AA,청년월세지원,경북성주군,경북,지방,주거,대상자 지원,0.41,0.09,있음,,,(국토부) 26년 청년월세 지원사업,0.8
35900002018300A2,청년주도의 공감정책 실현,전남광주동구,광주,지방,정책기반,기타,0.41,0.02,찾지 못함,,,청년 주도 정책 설계 워크숍 참여자 모집,0.564
4640000201530129,대학생 학자금 대출이자 지원,전북전주시,전북,지방,교육·역량,대상자 지원,0.41,0.41,있음,20250717005400211332,대학생 학자금 대출이자 지원,대학생 학자금 대출이자 지원,1.12
4640000202330071,청년 어학시험 응시료 지원,전북전주시,전북,지방,교육·역량,대상자 지원,0.41,0.01,찾지 못함,,,전북청년 생생 아이디어 지원,0.596
5690000202630155,K-아트 청년창작자 지원(국가직접지원),세종본청,세종,지방,정책기반,대상자 지원,0.41,0.41,찾지 못함,,,청년도전지원사업 『도전캠퍼스』,0.564
443000020223009D,청년월세 한시 특별지원(보조),충북옥천군,충북,지방,주거,대상자 지원,0.41,0.1,있음,,,(국토부) 26년 청년월세 지원사업,0.9
44000002024300E6,청년 문화예술패스 지원(국비직접지원)(보조),충북제천시,충북,지방,문화·건강,대상자 지원,0.41,0.41,있음,,,청년문화예술패스,1.0
446000020193004A,청년정책 활성화,충북괴산군,충북,지방,정책기반,기타,0.41,0.34,찾지 못함,,,충청북도 청년정책조정위원회 운영,0.62
435000020223004C,청년월세 한시 특별지원 사업,강원양양군,강원,지방,주거,대상자 지원,0.4,0.08,있음,,,청년월세 한시 특별지원,1.0
419000020183001B,미래 청년농업인 육성,강원원주시,강원,지방,창업·농어업,기타,0.4,0.4,있음,,,청년농업인 육성지원,1.02
6420000202330495,청년리더 아카데미 운영,강원본청,강원,지방,교육·역량,기타,0.4,0.4,찾지 못함,,,강원청년센터 운영,0.62
653000020263003B,강원특별자치도 은둔·고립 청년 실태조사,강원본청,강원,지방,정책기반,기반·운영,0.4,0.03,찾지 못함,,,자립준비청년 자립수당 지원,0.42
4321000202330153,청년농업인 정책자금 이차보전 지원,강원양구군,강원,지방,창업·농어업,대상자 지원,0.4,0.08,있음,20250618005400211056,청년농업인 정책자금 이차보전 지원,청년농업인 정책자금 이차보전 지원,1.12
4310000202030026,청년농업인 맞춤형 사업 지원,강원화천군,강원,지방,창업·농어업,대상자 지원,0.4,0.23,있음,20250501005400210755,청년농업인 맞춤형 사업 지원,청년농업인 맞춤형 사업 지원,1.12
5680000202430101,청년문화예술패스,충남당진시,충남,지방,문화·건강,대상자 지원,0.4,0.4,있음,20260504005400113122,청년문화예술패스,청년문화예술패스,1.12
6440000202330232,선도 청년농업인 정책홍보단 운영,충남본청,충남,지방,창업·농어업,기반·운영,0.4,0.06,있음,,,청년농업인 지원정책 홍보,1.02
6440000202530148,청년 스마트팜 창농 지원 인증,충남본청,충남,지방,창업·농어업,대상자 지원,0.4,0.3,있음,,,청년자립형 스마트팜 지원사업,0.76
450000020213017D,청년공유공간 운영,충남공주시,충남,지방,정책기반,기반·운영,0.4,0.4,있음,,,청년공유주택 운영,0.87
4500000202330298,친환경 청년농부 시설지원사업,충남공주시,충남,지방,창업·농어업,기반·운영,0.4,0.4,있음,20251111005400211845,친환경청년농부 시설지원,친환경청년농부 시설지원,1.12
4500000202630103,청년농 미디어커머스 지원사업,충남공주시,충남,지방,창업·농어업,대상자 지원,0.4,0.24,있음,20260504005400113080,청년농 미디어커머스 지원,청년농 미디어커머스 지원,1.12
45200002026301C2,친환경청년농부 시설지원사업,충남아산시,충남,지방,창업·농어업,기반·운영,0.4,0.0,있음,20251111005400211845,친환경청년농부 시설지원,친환경청년농부 시설지원,1.12
4550000200830428,자립준비청년 자립정착금 지원(도비),충남금산군,충남,지방,금융·생활안정,대상자 지원,0.4,0.05,있음,,,"자립준비청년 자립 지원 (자립수당, 자립정착금, 대학생활안정자금)",1.02
45500002023300D5,친환경청년농부 시설지원(도비),충남금산군,충남,지방,창업·농어업,기반·운영,0.4,0.0,있음,20251111005400211845,친환경청년농부 시설지원,친환경청년농부 시설지원,1.12
45300002024300DC,친환경청년농부시설 지원,충남서산시,충남,지방,창업·농어업,기반·운영,0.4,0.0,있음,20251111005400211845,친환경청년농부 시설지원,친환경청년농부 시설지원,1.12
46000002025300DA,청년농업인 스마트팜 사관학교 운영,충남홍성군,충남,지방,창업·농어업,기타,0.4,0.21,있음,,,충남형 스마트팜 사관학교 체계 구축운영,0.787
3250000202330051,동네 청년공간 활성화 지원 사업,부산중구,부산,지방,정책기반,대상자 지원,0.4,0.2,있음,,,부산 동네 청년활동공간 활성화 지원,1.02
327000020263005C,2026년 동네 청년활동공간 활성화 지원사업,부산동구,부산,지방,정책기반,대상자 지원,0.4,0.4,있음,20260406005400212424,부산 동네 청년활동공간 활성화 지원,부산 동네 청년활동공간 활성화 지원,1.12
3350000202530095,동네 청년활동공간 활성화 지원사업,부산금정구,부산,지방,정책기반,대상자 지원,0.4,0.4,있음,20260406005400212424,부산 동네 청년활동공간 활성화 지원,부산 동네 청년활동공간 활성화 지원,1.12
4900000202630007,청년센터 운영,전남광주화순군,전남,지방,정책기반,기반·운영,0.4,0.18,찾지 못함,,,2026년 서구 청년축제 「무한도ZONE」,0.62
64600002026300E6,지역대학 청년창업가 육성 (전남),전남광주본청,전남,지방,창업·농어업,대상자 지원,0.4,0.0,찾지 못함,,,청년 창업농장 조성,0.646
4810000202030027,여수 청년 페스타 지원,전남광주여수시,전남,지방,정책기반,대상자 지원,0.4,0.0,있음,,,2026 전남광주 청년주간 청년페스타: 피파페,1.02
490000020243002C,청년 복지 지원,전남광주화순군,전남,지방,정책기반,대상자 지원,0.4,0.34,있음,,,전남청년 문화복지카드,0.787
4960000202630005,청년 정착지원,전남광주함평군,전남,지방,정책기반,대상자 지원,0.4,0.06,있음,,,청년월세지원,0.787
4970000202330056,영광청년 문화 조성,전남광주영광군,전남,지방,문화·건강,기반·운영,0.4,0.4,찾지 못함,,,전남형 청년마을 조성사업,0.653
500000020233035C,자립준비청년(보호종료아동) 자립정착금 지원,전남광주진도군,전남,지방,금융·생활안정,대상자 지원,0.4,0.25,찾지 못함,,,자립준비청년 자립정착금,0.65
4920000202030148,청년어촌정착지원,전남광주강진군,전남,지방,창업·농어업,대상자 지원,0.4,0.24,있음,,,청년어업인 정착지원 사업,0.769
300000020223004E,청년 참여기구 구성 및 운영,서울종로구,서울,지방,참여·권리,기타,0.4,0.14,찾지 못함,,,청년예술청 운영,0.564
306000020233012D,중랑을 중랑답게 축제·공연을 펼치는 청년 기획자 운영(서울형매력일자리),서울중랑구,서울,지방,문화·건강,기반·운영,0.4,0.28,찾지 못함,,,청년예술청 운영,0.44
6110000202330877,서울청년참여기구 총회 개최,서울본청,서울,지방,참여·권리,기타,0.4,0.0,찾지 못함,,,청년참여 활성화 및 서울청년참여기구 운영 지원,0.526
3080000202530008,군복무 청년 상해보험 지원,서울강북구,서울,지방,금융·생활안정,대상자 지원,0.4,0.37,찾지 못함,,,서울청년문화패스 지원,0.541
3100000202530015,미취업청년 어학 자격증 응시료 지원사업,서울노원구,서울,지방,교육·역량,대상자 지원,0.4,0.4,찾지 못함,,,청년예술지원사업,0.6
313000020253003A,청년의 날 기념행사,서울마포구,서울,지방,정책기반,기반·운영,0.4,0.0,찾지 못함,,,서울시 청년해외봉사단 사업,0.495
3130000202630007,(주민참여예산)청년 및 경력보유여성을 위한 디지털일자리 교육지원사업,서울마포구,서울,지방,교육·역량,대상자 지원,0.4,0.4,찾지 못함,,,미래 청년 일자리 사업,0.544
